municipality_number, postcode_number, postcode_supplement, pct_in_municipality
6082,1966,10,100
6082,1966,11,100
6266,1967,0,100
6090,1968,0,100
6087,1969,0,100
6087,1969,2,100
6087,1969,3,100
6087,1969,4,100
6087,1969,5,100
6263,1971,0,99.62
6266,1971,0,0.38
6263,1971,2,98.88
6266,1971,2,1.12
6082,1972,0,99.81
6261,1972,0,0.19
6090,1973,0,100
6261,1974,0,100
6023,1975,0,100
6023,1976,0,100
6023,1976,1,100
6023,1976,2,100
6239,1977,0,100
6239,1978,0,0.16
6240,1978,0,99.84
6089,1981,0,100
6084,1982,0,85.18
6087,1982,0,14.82
6083,1983,0,100
6083,1983,2,100
6083,1984,0,100
6083,1984,1,100
6083,1985,0,100
6083,1985,1,100
6083,1985,2,100
6083,1986,0,100
6084,1987,0,100
6089,1988,1,100
6089,1988,2,100
6266,1991,0,99.26
6267,1991,0,0.74
6266,1991,2,100
6266,1991,3,100
6266,1991,4,100
6266,1991,5,100
6266,1992,0,100
6089,1992,1,69.19
6266,1992,1,30.81
6266,1992,2,100
6266,1992,3,100
6024,1993,0,28.87
6266,1993,0,5.1
6267,1993,0,66.03
6024,1993,2,100
6024,1994,2,80.25
6266,1994,2,19.75
6024,1996,0,100
6024,1996,1,100
6024,1996,2,100
6024,1996,3,100
6024,1996,4,100
6024,1996,5,100
6024,1996,6,100
6024,1996,7,100
6024,1997,0,100
6024,1997,1,100
6024,1997,2,100
6416,2000,0,0.02
6458,2000,0,99.95
6485,2000,0,0.02
6416,2012,0,100
6404,2013,0,1.27
6416,2013,0,98.73
6404,2014,0,0.23
6416,2014,0,99.77
6404,2015,0,100
6408,2016,0,100
6404,2017,0,100
6413,2019,0,100
6404,2019,2,3.91
6413,2019,2,96.09
6408,2022,0,0.19
6417,2022,0,99.81
6417,2023,0,100
6417,2024,0,100
6417,2025,0,100
6417,2027,2,100
6417,2027,3,100
5554,2028,0,6.4
6417,2028,0,93.6
6412,2034,0,100
6407,2035,0,97.83
6413,2035,0,1.74
6416,2035,0,0.43
6407,2036,0,90.21
6416,2036,0,9.79
6407,2037,0,8.3
6487,2037,0,91.7
6413,2037,2,100
6485,2042,0,99.22
6487,2042,0,0.78
6487,2043,0,100
6487,2046,0,100
6487,2052,0,100
6487,2052,2,100
6487,2053,0,100
6487,2054,0,100
6487,2054,2,100
6487,2056,0,100
6487,2057,0,100
6487,2058,0,100
6487,2063,0,100
6487,2063,2,100
6487,2063,3,100
6487,2063,4,100
6487,2065,0,100
6453,2067,0,0.84
6458,2067,0,64.29
6487,2067,0,34.87
6454,2068,0,100
6451,2072,0,1.23
6452,2072,0,1.51
6459,2072,0,97.26
6453,2073,0,99.08
6455,2073,0,0.92
6461,2074,0,100
6451,2075,1,2.5
6461,2075,1,97.5
6461,2075,2,100
6451,2087,0,99.7
6452,2087,0,0.3
6452,2088,0,100
6413,2103,0,0.56
6417,2103,0,0.56
6512,2103,0,98.88
6437,2105,0,0.55
6512,2105,0,99.45
5566,2108,0,1.84
6512,2108,0,98.16
6512,2112,0,100
6512,2113,0,100
6512,2114,0,100
6504,2115,0,0.5
6512,2115,0,99.5
6512,2116,0,100
6504,2117,0,100
6512,2123,0,100
6432,2124,0,4.88
6512,2124,0,95.12
6511,2126,0,99.62
6512,2126,0,0.38
6512,2127,0,100
6404,2149,0,3.7
6413,2149,0,96.3
6413,2149,2,100
6413,2149,3,100
6487,2206,0,100
6487,2207,0,100
6487,2208,0,100
6421,2300,0,100
6421,2300,8,100
6421,2314,0,1.17
6423,2314,0,98.83
6437,2316,0,99.01
6512,2316,0,0.99
6437,2316,2,100
6413,2318,0,7.19
6433,2318,0,88.89
6512,2318,0,3.92
6421,2322,0,99.05
6436,2322,0,0.95
6422,2325,0,100
435,2333,0,84.96
445,2333,0,14.63
6742,2333,0,0.41
435,2333,2,100
6742,2336,0,99.54
6754,2336,0,0.46
6753,2338,0,100
6753,2338,2,100
6754,2340,0,100
448,2345,0,0.19
6743,2345,0,91.46
6753,2345,0,7.21
6754,2345,0,1.14
