number, supplement, name
1304,4,Senarclens
1305,0,Penthalaz
1306,0,Daillens
1306,0,Daillens
1307,0,Lussery-Villars
1308,0,La Chaux-Cossonay
1312,0,Eclépens
1313,0,Ferreyres
1315,0,La Sarraz
1316,0,Chevilly
1316,0,Chevilly
1317,0,Orny
1318,0,Pompaples
1321,0,Arnex-sur-Orbe
1322,0,Croy
1323,0,Romainmôtier
1324,0,Premier
1325,0,Vaulion
1325,0,Vaulion
1326,0,Juriens
1329,0,Bretonnières
1337,0,Vallorbe
1338,0,Ballaigues
1341,0,Orient
1342,0,Le Pont
1343,0,Les Charbonnières
1344,0,L'Abbaye
1345,0,Le Lieu
1345,1,Le Séchey
1346,0,Les Bioux
1347,0,Le Sentier
1347,1,Le Solliat
1348,0,Le Brassus
1350,0,Orbe
1352,0,Agiez
1353,0,Bofflens
1354,0,Montcherand
1355,0,L'Abergement
1355,2,Sergey
1356,0,Les Clées
1356,2,La Russille
1357,0,Lignerolle
1358,0,Valeyres-Rances
1372,0,Bavois
1372,0,Bavois
1373,0,Chavornay
1374,0,Corcelles-Chavorn
1375,0,Penthéréaz
1376,0,Goumoens-la-Ville
1376,2,Eclagnens
1376,3,Goumoens-le-Jux
1377,0,Oulens-Echallens
1400,0,Yverdon-les-Bains
1400,5,Cheseaux-Noréaz
1400,5,Cheseaux-Noréaz
1404,0,Cuarny
1404,2,Villars-Epeney
1405,0,Pomy
1406,0,Cronay
1407,0,Donneloye
1407,2,Gossens
1407,2,Gossens
1407,3,Mézery-Donneloye
1407,4,Bioley-Magnoux
1408,0,Prahins
1409,0,Chanéaz
1410,0,Thierrens
1410,2,Correvon
1410,3,Denezy
1410,4,Prévondavaux
1410,5,St-Cierges
1412,0,Valeyres-Ursins
1412,2,Ursins
1413,0,Orzens
1415,0,Molondin
1415,2,Démoret
1416,0,Pailly
1417,0,Essertines-Yverdon
1417,2,Epautheyres
1418,0,Vuarrens
1420,0,Fiez
1421,0,Fontaines-Grandson
1421,2,Grandevent
1422,0,Grandson
1423,0,Villars-Burquin
1423,2,Fontanezier
1423,2,Fontanezier
1423,3,Romairon
1423,4,Vaugondry
1424,0,Champagne
1425,0,Onnens VD
1426,0,Concise
1426,1,Corcelles-Concise
1427,0,Bonvillars
1428,1,Provence
1428,1,Provence
1428,2,Mutrux
1429,0,Giez
1430,0,Orges
1431,0,Vugelles-La Mothe
1431,2,Novalles
1432,0,Belmont-Yverdon
1432,2,Gressy
1432,2,Gressy
1433,0,Suchy
1434,0,Ependes VD
1435,0,Essert-Pittet
1436,0,Treycovagnes
1436,2,Chamblon
1437,0,Suscévaz
1438,0,Mathod
1439,0,Rances
1441,0,Valeyres-Montagny
1442,0,Montagny-Yverdon
1443,0,Champvent
1443,2,Essert-s-Champvent
1443,3,Villars-Champvent
1445,0,Vuiteboeuf
1445,0,Vuiteboeuf
1446,0,Baulmes
1450,0,Ste-Croix
1450,2,La Sagne VD
1450,3,Le Château-Croix
1452,0,Les Rasses
1452,0,Les Rasses
1453,0,Bullet
1453,0,Bullet
1453,2,Mauborget
1453,2,Mauborget
1453,2,Mauborget
1454,0,L'Auberson
1454,2,La Vraconnaz
1462,0,Yvonand
1463,0,Rovray
1464,0,Chavannes-le-Chêne
1464,2,Chêne-Pâquier
